Book Name,Author Name,Narrator Name,Book Size,Book Ratings
Leadership Wisdom from the Monk Who Sold His Ferrari, Robin Sharma, Adam Verner, 7 hrs and 31 mins,5 out of 5 stars
The Perfect Murder, Ruskin Bond, Tejas Menon, 5 hrs and 12 mins,1.5 out of 5 stars
No Longer Human, Osamu Dazai, David Shih, 4 hrs and 13 mins,4.5 out of 5 stars
HBR's 10 Must Reads 2023, Harvard Business Review," Mike Lenz, Rachel Perry", 6 hrs and 16 mins,4 out of 5 stars
"Money, and the Law of Attraction"," Esther Hicks, Jerry Hicks"," Esther Hicks, Jerry Hicks", 7 hrs and 27 mins,5 out of 5 stars
Midnight's Children, Salman Rushdie," Nikesh Patel, Meera Syal, Anneika Rose, Preeya Kalidas, Aysha Kala, full cast", 4 hrs and 54 mins,4.5 out of 5 stars
A Gentleman in Moscow, Amor Towles, Nicholas Guy Smith, 17 hrs and 52 mins,5 out of 5 stars
1962: The War That Wasn't, Shiv Kunal Verma, Manish Dongardive, 19 hrs and 20 mins,4.5 out of 5 stars
Never Split the Difference," Chris Voss, Tahl Raz", Michael Kramer, 8 hrs and 7 mins,4.5 out of 5 stars
The Power of Your Subconscious Mind, Joseph Murphy, Mark White, 7 hrs and 13 mins,4.5 out of 5 stars
Star Wars: Heir to the Empire, Timothy Zahn, Marc Thompson, 13 hrs and 9 mins,4.5 out of 5 stars
Tools of Titans, Tim Ferriss," Ray Porter, Kaleo Griffith, Tim Ferriss, Therese Plummer, Ryan Holiday, Kevin Rose, Jocko Willink, Tim Kreider, Mike Del Ponte", 22 hrs and 41 mins,4.5 out of 5 stars
In Order to Live, Yeonmi Park, Eji Kim, 9 hrs and 37 mins,5 out of 5 stars
You Can Heal Your Life, Louise L. Hay, Louise L. Hay, 3 hrs,4.5 out of 5 stars
Execution," Larry Bossidy, Ram Charan", John Bedford Lloyd, 8 hrs and 14 mins,4.5 out of 5 stars
Letting Go, David R. Hawkins MD, Peter Lownds PhD, 12 hrs and 23 mins,4.5 out of 5 stars
The Pillars of the Earth, Ken Follett, John Lee, 40 hrs and 56 mins,5 out of 5 stars
Be Still and Know, Osho, Osho, 17 hrs and 10 mins,5 out of 5 stars
Indistractable," Nir Eyal, Julie Li", Nir Eyal, 5 hrs and 15 mins,4.5 out of 5 stars
Dharma (Hindi Edition), Amish Tripathi, Neha Gargava, 5 hrs and 9 mins,4.5 out of 5 stars
Unstoppable, Brian Tracy, Michael Tracy, 4 hrs and 15 mins,5 out of 5 stars
Your Soul's Plan, Robert Schwartz, Richard Banks, 11 hrs and 15 mins,4.5 out of 5 stars
The Third Door, Alex Banayan, Alex Banayan, 8 hrs and 42 mins,4.5 out of 5 stars
The BFG, Roald Dahl, David Walliams, 4 hrs and 24 mins,5 out of 5 stars
Finding Ultra, Rich Roll, Rich Roll, 9 hrs and 48 mins,4.5 out of 5 stars
How Emotions Are Made, Lisa Feldman Barrett, Cassandra Campbell, 14 hrs and 32 mins,4.5 out of 5 stars
Attached," Amir Levine, Rachel Heller", Robert Petkoff, 7 hrs and 6 mins,4.5 out of 5 stars
The Art of Saying No, Damon Zahariades, Joe Hempel, 2 hrs and 22 mins,4.5 out of 5 stars
The Life-Changing Magic of Tidying, Marie Kondo, Lucy Scott, 4 hrs and 39 mins,4.5 out of 5 stars
Maybe You Should Talk to Someone, Lori Gottlieb, Brittany Pressley, 14 hrs and 22 mins,4.5 out of 5 stars
The Ultimate Jim Rohn Library, Jim Rohn, Jim Rohn, 11 hrs and 23 mins,5 out of 5 stars
The Silva Method, Ph.D Robert B. Stone, Ph.D. Robert B. Stone, 6 hrs and 57 mins,4.5 out of 5 stars
Why Nations Fail," Daron Acemoglu, James A. Robinson", Dan Woren, 17 hrs and 55 mins,4.5 out of 5 stars
How to Be Love(d), Humble the Poet, Humble the Poet, 6 hrs and 39 mins,4 out of 5 stars
Visual Thinking, Temple Grandin," Andrea Gallo, Temple Grandin", 12 hrs and 31 mins,5 out of 5 stars
Lock Every Door, Riley Sager, Stephanie Cannon, 10 hrs and 7 mins,4 out of 5 stars
The Unusual Billionaires, Saurabh Mukherjea, Gaurav Marwa, 9 hrs and 12 mins,4.5 out of 5 stars
The Great Mental Models, Shane Parrish, Shane Parrish, 3 hrs and 23 mins,4.5 out of 5 stars
Origin, Dan Brown, Paul Michael, 18 hrs and 10 mins,4.5 out of 5 stars
My Journey, A. P. J. Kalam, Surjan Singh, 3 hrs and 25 mins,5 out of 5 stars
Models, Mark Manson, Austin Rising, 7 hrs and 52 mins,5 out of 5 stars
Measure What Matters, John Doerr," Jini Kim, Susan Wojcicki, Alex Garden, Andrew Cole, Cristos Goodrow, Patti Stonesifer, Mike Lee, Bono, William Davidow, Joseph Suzuki, Atticus Tysen, Brett Kopf, John Doerr, Julia Collins", 7 hrs and 56 mins,4.5 out of 5 stars
The Ride of a Lifetime, Robert Iger," Robert Iger, Jim Frangione", 8 hrs and 45 mins,5 out of 5 stars
All These Worlds, Dennis E. Taylor, Ray Porter, 7 hrs and 56 mins,5 out of 5 stars
The Upside of Irrationality, Dan Ariely, Simon Jones, 8 hrs and 18 mins,4.5 out of 5 stars
The Myth of Normal," Gabor Maté, Daniel Maté", Daniel Maté, 18 hrs and 12 mins,4.5 out of 5 stars
The Odyssey," Homer, Emily Wilson - translator", Claire Danes, 13 hrs and 32 mins,4.5 out of 5 stars
Made to Stick," Chip Heath, Dan Heath", Charles Kahlenberg, 8 hrs and 37 mins,4.5 out of 5 stars
The 22 Immutable Laws of Marketing," Al Ries, Jack Trout", David Drummond, 3 hrs and 6 mins,4.5 out of 5 stars
In the Realm of Hungry Ghosts, Dr Gabor Maté, Daniel Maté, 15 hrs and 45 mins,5 out of 5 stars
Power vs. Force, Dr. David R. Hawkins, Dr. David R. Hawkins, 8 hrs and 10 mins,4 out of 5 stars
"Harry Potter and the Half-Blood Prince, Book 6", J.K. Rowling, Stephen Fry, 20 hrs and 31 mins,5 out of 5 stars
Unleashing the Mind, Sadhguru, Sadhguru, 4 hrs and 35 mins,Not rated yet
Database Internals, Alex Petrov, Mike Chamberlain, 12 hrs and 51 mins,Not rated yet
Hyperfocus, Chris Bailey, Chris Bailey, 6 hrs and 39 mins,4.5 out of 5 stars
English Speaking Master. Proficiency level B2-C1, Dorota Guzik," Lara Kalenik, Barbara Kubica-Daniel, Tadeusz Z. Wolanski, Michael Brown", 5 hrs,4.5 out of 5 stars
Dogs of War, Frederick Forsyth, David Rintoul, 13 hrs and 39 mins,4.5 out of 5 stars
How to Day Trade for a Living, Andrew Aziz, Kevin Foley, 6 hrs and 56 mins,4.5 out of 5 stars
In the Footsteps of the Prophet, Tariq Ramadan, Peter Ganim, 9 hrs and 37 mins,5 out of 5 stars
The Exile," Cathy Scott-Clark, Adrian Levy", Chris Kayser, 24 hrs and 50 mins,5 out of 5 stars
1971, Ian Cardozo, Dev J Haldar, 11 hrs and 7 mins,5 out of 5 stars
The Bhagavad Gita, Eknath Easwaran, Paul Bazely, 8 hrs and 54 mins,4.5 out of 5 stars
Vanara, Anand Neelakantan, Siddhanta Pinto, 11 hrs and 22 mins,4.5 out of 5 stars
To Sell Is Human, Daniel H. Pink, Daniel H. Pink, 6 hrs and 6 mins,5 out of 5 stars
The Hard Thing About Hard Things, Ben Horowitz, Kevin Kenerly, 7 hrs and 57 mins,4.5 out of 5 stars
Build, Tony Fadell, Roger Wayne, 11 hrs and 4 mins,4.5 out of 5 stars
Book Lovers, Emily Henry, Julia Whelan, 11 hrs and 23 mins,4.5 out of 5 stars
Metahuman, Dr Deepak Chopra, Dr Deepak Chopra, 12 hrs and 42 mins,4.5 out of 5 stars
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition," Mike Chapple, James Michael Stewart, Darril Gibson", Tom Parks, 65 hrs and 38 mins,Not rated yet
Superintelligence, Nick Bostrom, Napoleon Ryan, 14 hrs and 17 mins,4 out of 5 stars
Samsara, Saksham Garg," Ranjit Mdgavkar, Pallavi Bharti", 8 hrs and 51 mins,4 out of 5 stars
Hitler, Ian Kershaw, Damian Lynch, 44 hrs and 7 mins,4.5 out of 5 stars
P. D. James BBC Radio Drama Collection, P. D. James," Greta Scacchi, Hugh Grant, full cast, Judi Bowker, Philip Franks, Robin Ellis, Siân Phillips, Richard Derrington", 16 hrs and 37 mins,4 out of 5 stars
Chanakya's 7 Secrets of Leadership," D. Sivanandhan, Radhakrishnan Pillai", Kanchan Bhattacharyya, 7 hrs and 23 mins,4 out of 5 stars
Autobiography of a Yogi, Paramahansa Yogananda, Ben Kingsley, 17 hrs and 50 mins,4.5 out of 5 stars
The Selfish Gene, Richard Dawkins," Richard Dawkins, Lalla Ward", 16 hrs and 12 mins,4.5 out of 5 stars
The Fountainhead, Ayn Rand, Christopher Hurt, 32 hrs and 5 mins,4.5 out of 5 stars
The Infinite Game, Simon Sinek, Simon Sinek, 6 hrs and 56 mins,5 out of 5 stars
When Breath Becomes Air, Paul Kalanithi," Cassandra Campbell, Sunil Malhotra", 5 hrs and 35 mins,4.5 out of 5 stars
The Beginning of Infinity, David Deutsch, Walter Dixon, 20 hrs,4.5 out of 5 stars
Range, David Epstein, Will Damron, 10 hrs and 17 mins,4.5 out of 5 stars
What Every BODY Is Saying," Joe Navarro, Marvin Karlins", Paul Costanzo, 7 hrs and 19 mins,4.5 out of 5 stars
Zen: The Art of Simple Living," Shunmyo Masuno, Harry Goldhawk, Zanna Goldhawk", Adam Sims, 2 hrs and 37 mins,4.5 out of 5 stars
The 80/20 Principle, Richard Koch, Richard Koch, 6 hrs and 47 mins,4.5 out of 5 stars
What Got You Here Won't Get You There," Marshall Goldsmith, Mark Reiter", Jared Vanderbeck, 7 hrs and 56 mins,4.5 out of 5 stars
Dare to Lead, Brené Brown, Brené Brown, 8 hrs and 10 mins,4.5 out of 5 stars
Letting Go, David R. Hawkins MD, Peter Lownds PhD, 12 hrs and 23 mins,4.5 out of 5 stars
Power Phone Scripts, Mike Brooks, Stephen McLaughlin, 8 hrs and 44 mins,5 out of 5 stars
The Throne of Fire, Rick Riordan," Joseph May, Jane Collingwood", 12 hrs and 15 mins,5 out of 5 stars
"I Know What to Do, So Why Don't I Do It?", Nick Hall, Nick Hall, 10 hrs and 5 mins,4.5 out of 5 stars
As a Man Thinketh, James Allen, Brian Holsopple, 55 mins,4.5 out of 5 stars
How to Sell a Haunted House, Grady Hendrix," Jay Aaseng, Mikhaila Aaseng", 12 hrs and 59 mins,2 out of 5 stars
The Body, Bill Bryson, Bill Bryson, 14 hrs and 47 mins,4.5 out of 5 stars
Master of the Game, Sidney Sheldon, Shannon Engemann, 13 hrs and 17 mins,4.5 out of 5 stars
Sultan," Wasim Akram, Gideon Haigh", Ranjit Madgavkar, 9 hrs and 12 mins,4 out of 5 stars
21 Lessons for the 21st Century, Yuval Noah Harari, Derek Perkins, 11 hrs and 41 mins,4.5 out of 5 stars
The Mind Illuminated," Culadasa, Jeremy Graves, Matthew Immergut PhD, John Yates PhD", Sean Runnette, 13 hrs and 33 mins,4.5 out of 5 stars
The Boy Who Was Raised as a Dog," Bruce D. Perry, Maia Szalavitz", Chris Kipiniak, 13 hrs and 10 mins,5 out of 5 stars
The Intelligent Investor Rev Ed., Benjamin Graham, Luke Daniels, 17 hrs and 48 mins,4.5 out of 5 stars
Rule #1, Phil Town, Marc Cashman, 11 hrs and 29 mins,5 out of 5 stars
Homegoing, Yaa Gyasi, Dominic Hoffman, 13 hrs and 11 mins,4.5 out of 5 stars
"The China Study, Revised and Expanded Edition"," T. Colin Campbell PhD, Thomas M. Campbell II MD", Dan Woren, 18 hrs and 2 mins,5 out of 5 stars
Dark Matter, Blake Crouch, Jon Lindstrom, 10 hrs and 8 mins,4.5 out of 5 stars
The Psychology of Selling, Brian Tracy, Brian Tracy, 5 hrs and 19 mins,4.5 out of 5 stars
A Brief History of Time, Stephen Hawking, John Sackville, 6 hrs and 57 mins,4.5 out of 5 stars
Blink, K. L. Slater, Lucy Price-Lewis, 8 hrs and 19 mins,4 out of 5 stars
The Moonstone, Wilkie Collins, Peter Jeffrey, 18 hrs and 45 mins,4 out of 5 stars
Burner, Mark Greaney, Jay Snyder, 16 hrs and 38 mins,5 out of 5 stars
Profit First, Mike Michalowicz, Mike Michalowicz, 8 hrs and 35 mins,4.5 out of 5 stars
Mindset, Carol Dweck, Carol Dweck, 8 hrs and 34 mins,4.5 out of 5 stars
Your Money or Your Life," Vicki Robin, Joe Dominguez, Mr. Money Mustache - foreword", Vicki Robin, 11 hrs and 21 mins,4 out of 5 stars
"Harry Potter and the Deathly Hallows, Book 7", J.K. Rowling, Stephen Fry, 23 hrs and 59 mins,5 out of 5 stars
The Little Book of Common Sense Investing, John C. Bogle, L. J. Ganser, 5 hrs and 50 mins,4.5 out of 5 stars
100 Side Hustles, Chris Guillebeau, Chris Guillebeau, 7 hrs and 34 mins,4.5 out of 5 stars
Harvard Business Review Manager's Handbook, Harvard Business Review, Eric Jason Martin, 9 hrs and 41 mins,4.5 out of 5 stars
The Meditations of Marcus Aurelius, Marcus Aurelius, Walter Covell, 5 hrs,4.5 out of 5 stars
The Formula," Ronald F. Ferguson, Tatsha Robertson", Cynthia Farrell, 10 hrs and 4 mins,2 out of 5 stars
The Choice, Edith Eger," Edith Eger, Tovah Feldshuh", 12 hrs and 26 mins,5 out of 5 stars
Lanka's Princess, Kavita Kane, Chandrima Mazumdar, 12 hrs and 54 mins,4 out of 5 stars
The Power of Thoughts, Swami Mukundananda, Sanyam Sharma, 6 hrs and 19 mins,5 out of 5 stars
Everything I Know About Love, Dolly Alderton, Dolly Alderton, 8 hrs and 33 mins,4.5 out of 5 stars
"Zen Mind, Beginner's Mind", Shunryu Suzuki, Peter Coyote, 2 hrs and 58 mins,4.5 out of 5 stars
How Will You Measure Your Life?," Clayton M. Christensen, James Allworth", Jeff Woodman, 5 hrs and 28 mins,4.5 out of 5 stars
Essentials of Social Psychology," Wind Goodfriend, The Great Courses", Wind Goodfriend, 5 hrs and 20 mins,4.5 out of 5 stars
Patna Blues (Hindi Edition), Abdullah Khan, Darain Shahidi, 9 hrs and 29 mins,Not rated yet
High Performance Habits, Brendon Burchard, Brendon Burchard, 10 hrs and 35 mins,4.5 out of 5 stars
Men Without Women, Haruki Murakami, Bruno Roubicek, 7 hrs and 36 mins,4 out of 5 stars
Mastering Trading Psychology," Andrew Aziz, Mike Baehr", Chris Abell, 9 hrs and 19 mins,4.5 out of 5 stars
Land of Seven Rivers, Sanjeev Sanyal, Vikrant Chaturvedi, 10 hrs and 21 mins,4.5 out of 5 stars
Zero Bulls--t Meditation, Vishen Lakhiani, Vishen Lakhiani, 5 hrs and 26 mins,5 out of 5 stars
How to Talk to Anyone, Leil Lowndes," Joyce Bean, Leil Lowndes", 8 hrs and 59 mins,4.5 out of 5 stars
Can't Hurt Me, David Goggins," David Goggins, Adam Skolnick", 13 hrs and 37 mins,5 out of 5 stars
Startup Compass," Ujwal Kalra, Shobhit Shubhankar", Adwait Karambelkar, 8 hrs and 57 mins,4.5 out of 5 stars
Beyond Order, Jordan B. Peterson, Jordan B. Peterson, 13 hrs and 11 mins,4.5 out of 5 stars
Throttled, Lauren Asher," Ramona Master, Aiden Snow", 10 hrs and 21 mins,5 out of 5 stars
The One-Straw Revolution," Masanobu Fukuoka, Larry Korn", David Shih, 5 hrs and 7 mins,5 out of 5 stars
Elon Musk, Ashlee Vance, Fred Sanders, 13 hrs and 23 mins,4.5 out of 5 stars
Rich Dad Poor Dad, Robert T. Kiyosaki, Tim Wheeler, 6 hrs and 9 mins,4.5 out of 5 stars
Elon Musk, Ashlee Vance, Fred Sanders, 13 hrs and 23 mins,4.5 out of 5 stars
How to Talk to Anyone at Work, Leil Lowndes," Joyce Bean, Leil Lowndes", 6 hrs and 17 mins,4.5 out of 5 stars
Rich Dad Poor Dad, Robert T. Kiyosaki, Tim Wheeler, 6 hrs and 9 mins,4.5 out of 5 stars
Ikigai," Héctor García, Francesc Miralles", Naoko Mori, 3 hrs and 23 mins,4.5 out of 5 stars
Sapiens, Yuval Noah Harari, Derek Perkins, 15 hrs and 18 mins,5 out of 5 stars
"Thinking, Fast and Slow", Daniel Kahneman, Patrick Egan, 20 hrs,4.5 out of 5 stars
The Courage to Be Disliked ," Fumitake Koga, Ichiro Kishimi", Adrian Mulraney, 6 hrs and 50 mins,4.5 out of 5 stars
The Kiss Quotient, Helen Hoang, Carly Robins, 9 hrs and 36 mins,4.5 out of 5 stars
The Wicked King, Holly Black, Caitlin Kelly, 10 hrs and 20 mins,4.5 out of 5 stars
How the Stock Market Works," Ramon P. DeGennaro, The Great Courses", Ramon P. DeGennaro, 9 hrs and 15 mins,5 out of 5 stars
The Egg and Other Stories, Andy Weir," Jonathan Davis, Christy Romano, R.C. Bray", 1 hr and 17 mins,4.5 out of 5 stars
The Secret of Secrets, Osho, Osho, 53 hrs and 32 mins,5 out of 5 stars
Midnight's Children, Salman Rushdie, Homer Todiwala, 25 hrs and 39 mins,4 out of 5 stars
Good Strategy/Bad Strategy, Richard Rumelt, Sean Runnette, 11 hrs and 49 mins,4.5 out of 5 stars
Zero to One," Peter Thiel, Blake Masters", Blake Masters, 4 hrs and 50 mins,4.5 out of 5 stars
The Lucifer Effect, Philip Zimbardo, Kevin Foley, 26 hrs and 44 mins,4.5 out of 5 stars
Catalyst, Chandramouli Venkatesan, Vishal Menon, 5 hrs and 46 mins,4.5 out of 5 stars
The Buddha Said, Osho, Osho, 35 hrs and 57 mins,5 out of 5 stars
Bose: The Untold Story (Part 2), Chandrachur Ghose, Dev J. Haldar, 11 hrs and 27 mins,4.5 out of 5 stars
Poirot's Finest Cases, Agatha Christie," Full Cast, John Moffat", 15 hrs and 37 mins,4.5 out of 5 stars
Never Split the Difference," Chris Voss, Tahl Raz", Michael Kramer, 8 hrs and 7 mins,4.5 out of 5 stars
Poirot's Finest Cases, Agatha Christie," Full Cast, John Moffat", 15 hrs and 37 mins,4.5 out of 5 stars
A Life in the Shadows, A.S. Dulat, Showrein Roy Chaudhuri, 10 hrs,Not rated yet
The Subtle Art of Not Giving a F*ck, Mark Manson, Roger Wayne, 5 hrs and 17 mins,4.5 out of 5 stars
The Almanack of Naval Ravikant," Eric Jorgenson, Tim Ferriss", Vikas Adam, 4 hrs and 53 mins,4.5 out of 5 stars
The Gulag Archipelago, Aleksandr Solzhenitsyn," Jordan B. Peterson, Ignat Solzhenitsyn", 23 hrs and 28 mins,5 out of 5 stars
Atal Bihari Vajpayee, Kingshuk Nag, Manish Dongardive, 6 hrs and 58 mins,4.5 out of 5 stars
Nayi Aadton Ki Safal Takniken [Successful Techniques of New Habits], Tejgyan Global Foundation, Abhay Sahare, 3 hrs and 14 mins,4.5 out of 5 stars
The Bomber Mafia, Malcolm Gladwell, Malcolm Gladwell, 5 hrs and 14 mins,4.5 out of 5 stars
How We Learn, Stanislas Dehaene, Kaleo Griffith, 10 hrs and 1 min,5 out of 5 stars
Defiance of the Fall 8," TheFirstDefier, JF Brink", Pavi Proczko, 23 hrs and 22 mins,5 out of 5 stars
Apprenticed to a Himalayan Master, Sri M., Gaurav Sajjanhar, 10 hrs and 15 mins,4.5 out of 5 stars
Anahad Mein Bisram, OSHO, OSHO, 15 hrs and 45 mins,5 out of 5 stars
Truth Actuality and the Limits of Thought, Jiddu Krishnamurti, Jiddu Krishnamurti, 19 hrs and 57 mins,5 out of 5 stars
"7 Mindsets for Success, Happiness and Fulfilment", Swami Mukundananda, Jai Khadilkar, 6 hrs and 19 mins,4.5 out of 5 stars
The Final Gambit, Jennifer Lynn Barnes, Christie Moreau, 11 hrs and 24 mins,4.5 out of 5 stars
The Twist of a Knife, Anthony Horowitz, Rory Kinnear, 8 hrs and 31 mins,4.5 out of 5 stars
Chanakya Neeti, Acharya Chanakya, Rishi Upadhyay, 5 hrs and 2 mins,4.5 out of 5 stars
The Idiot, Fyodor Dostoyevsky, Constantine Gregory, 24 hrs and 56 mins,4.5 out of 5 stars
Rich Dad's Before You Quit Your Job, Robert T. Kiyosaki, Tim Wheeler, 7 hrs and 58 mins,5 out of 5 stars
Musashi," Eiji Yoshikawa, Charles S. Terry - translator", Brian Nishii, 53 hrs and 24 mins,5 out of 5 stars
The Maruti Story," Seetha, R.C. Bhargava", Anuj Datta, 13 hrs and 59 mins,Not rated yet
The Ikigai Journey," Hector Garcia, Francesc Miralles", Geoff McIntyre, 4 hrs and 37 mins,4.5 out of 5 stars
The Art of Management, Shiv Shivakumar, Anuj Datta, 8 hrs and 50 mins,5 out of 5 stars
How Will You Measure Your Life?," Clayton M. Christensen, James Allworth", Jeff Woodman, 5 hrs and 28 mins,4.5 out of 5 stars
Misbehaving, Richard H. Thaler, L. J. Ganser, 13 hrs and 35 mins,4.5 out of 5 stars
The Law of Attraction," Esther Hicks, Jerry Hicks"," Esther Hicks, Jerry Hicks", 6 hrs,5 out of 5 stars
The School of Life," Alain De Botton, The School of Life"," Alain de Botton, Charlie Anson", 9 hrs and 26 mins,4.5 out of 5 stars
The Body, Bill Bryson, Bill Bryson, 14 hrs and 47 mins,4.5 out of 5 stars
The Psychology Book, DK, Cassandra Campbell, 16 hrs,5 out of 5 stars
Split Second, David Baldacci, Scott Brick, 11 hrs and 36 mins,4 out of 5 stars
Coming Alive," Phil Stutz, Barry Michels"," Barry Michels, Phil Stutz", 8 hrs and 44 mins,5 out of 5 stars
The 5 AM Club, Robin Sharma, Adam Verner, 11 hrs and 4 mins,4.5 out of 5 stars
The Alchemist, Paulo Coelho, Jeremy Irons, 4 hrs,4.5 out of 5 stars
The Book on Rental Property Investing, Brandon Turner, Brandon Turner, 11 hrs and 38 mins,4.5 out of 5 stars
India's Most Fearless 2: More Military Stories of Unimaginable Courage and Sacrifice," Shiv Aroor, Rahul Singh", Rajiv Dadia, 10 hrs and 7 mins,5 out of 5 stars
The Simple Path to Wealth, JL Collins," JL Collins, Peter Adeney", 6 hrs and 38 mins,4.5 out of 5 stars
Rumpole: A BBC Radio Collection, John Mortimer," Benedict Cumberbatch, Timothy West, Julian Rhind-Tutt, Desmond Barrit, Prunella Scales, Jasmine Hyde, full cast", 26 hrs and 18 mins,Not rated yet
Million Dollar Habits, Brian Tracy, Brian Tracy, 7 hrs and 6 mins,4.5 out of 5 stars
The Presentation Secrets of Steve Jobs, Carmine Gallo, Carmine Gallo, 4 hrs and 17 mins,4.5 out of 5 stars
Why Zebras Don't Get Ulcers, Robert Sapolsky, Peter Berkrot, 17 hrs and 16 mins,4.5 out of 5 stars
The Wall of Winnipeg and Me, Mariana Zapata, Callie Dalton, 16 hrs,4.5 out of 5 stars
Product Leadership," Richard Banfield, Martin Eriksson, Nate Walkingshaw", Mitchell Dorian, 7 hrs and 41 mins,4.5 out of 5 stars
The Mind of a Consultant, Sandeep K. Krishnan, Adwait Karambelkar, 5 hrs and 35 mins,4.5 out of 5 stars
"Boundless: Upgrade Your Brain, Optimize Your Body & Defy Aging", Ben Greenfield, James Newcomb, 41 hrs and 19 mins,4.5 out of 5 stars
Hidden in Plain Sight, Jeffrey Archer, George Blagden, 8 hrs and 7 mins,4.5 out of 5 stars
"Ponniyin Selvan - Part 5 [The Son of Ponni, Part 5]", Kalki, Bombay Kannan, 12 hrs and 17 mins,5 out of 5 stars
Samvad Ka Jadoo [Am I Making Myself Clear?], Terry Felber, Vallabh Bhingarde, 3 hrs and 2 mins,4.5 out of 5 stars
The Life and Death of Sambhaji (Part 2), Medha Bhaskaran, Vasundhra Bose, 8 hrs and 57 mins,4.5 out of 5 stars
The Sandman: Act II," Neil Gaiman, Dirk Maggs"," Neil Gaiman, James McAvoy, Emma Corrin, Brian Cox, Kat Dennings, John Lithgow, Bill Nighy", 13 hrs and 47 mins,4.5 out of 5 stars
TCS Story...and Beyond, S. Ramadorai, Shahzad Bhiwandiwala, 10 hrs and 28 mins,4.5 out of 5 stars
The Invisible Life of Addie LaRue, V. E. Schwab, Julia Whelan, 17 hrs and 10 mins,4.5 out of 5 stars
Fifty Shades Freed, E. L. James, Becca Battoe, 20 hrs and 59 mins,4.5 out of 5 stars
Time Management (Hindi Edition), Sudhir Dixit, Rahul Jaisawat, 2 hrs and 34 mins,4.5 out of 5 stars
An Era of Darkness, Shashi Tharoor, Sagar Arya, 12 hrs and 26 mins,4.5 out of 5 stars
The End and the Death: Volume 1, Dan Abnett, Jonathan Keeble, 18 hrs and 33 mins,5 out of 5 stars
Byomkesh Bakshi Stories, Saradindu Bandopadhyay, Sumit Kaul, 6 hrs and 26 mins,4.5 out of 5 stars
Utsav Amar Jati Anand Amar Gotra, OSHO, OSHO, 17 hrs and 51 mins,5 out of 5 stars
Homo Deus, Yuval Noah Harari, Derek Perkins, 14 hrs and 53 mins,4.5 out of 5 stars
The Warren Buffett Way, Robert Hagstrom, Stephen Hoye, 10 hrs and 31 mins,4.5 out of 5 stars
The Warren Buffett Way, Robert Hagstrom, Stephen Hoye, 10 hrs and 31 mins,4.5 out of 5 stars
Genius Makers, Cade Metz, John Lee, 9 hrs and 59 mins,4.5 out of 5 stars
Body Whispering, Dain Heer, Dain Heer, 4 hrs and 30 mins,5 out of 5 stars
I Am Not the Body, Sri Nisargadatta Maharaj, Philip Evan Cowlishaw, 5 hrs and 10 mins,5 out of 5 stars
Triggers," Marshall Goldsmith, Mark Reiter", Marshall Goldsmith, 6 hrs and 36 mins,4.5 out of 5 stars
The Tatas," Girish Kuber, Vikrant Pande - translator", Rajiv Dadia, 9 hrs and 41 mins,5 out of 5 stars
Predictably Irrational, Dan Ariely, Simon Jones, 7 hrs and 24 mins,4.5 out of 5 stars
The Incredible History of the Indian Ocean, Sanjeev Sanyal, Rayan Madan, 6 hrs and 44 mins,4.5 out of 5 stars
Influence, Dan Lok, Dan Lok, 3 hrs and 34 mins,4.5 out of 5 stars
"Jab, Jab, Jab, Right Hook", Gary Vaynerchuk, John Hopkinson, 5 hrs and 41 mins,Not rated yet
The Silva Ultramind ESP System," Michael Wickett, Ed Bernd, Jose Luis Romero, JoNell Lytle"," Michael Wickett, Ed Bernd, Jose Luis Romero, JoNell Lytle", 7 hrs and 23 mins,4.5 out of 5 stars
Diary of a Wimpy Kid: Diper Överlöde, Jeff Kinney, Dan Russell, 2 hrs and 14 mins,5 out of 5 stars
Start with Why, Simon Sinek, Simon Sinek, 7 hrs and 18 mins,4.5 out of 5 stars
"Lose Fat, Get Fittr", Jitendra Chouksey, Craig Lobo, 6 hrs and 50 mins,4.5 out of 5 stars
Mental Models: 30 Thinking Tools that Separate the Average from the Exceptional, Peter Hollins, Russell Newton, 3 hrs and 57 mins,4.5 out of 5 stars
"Bridgerton: To Sir Phillip, with Love", Julia Quinn, Rosalyn Landor, 11 hrs and 10 mins,4.5 out of 5 stars
You Only Live Once, Stuti Changle, Sonal Khale, 4 hrs and 42 mins,4 out of 5 stars
God Is Not Great, Christopher Hitchens, Christopher Hitchens, 8 hrs and 45 mins,4.5 out of 5 stars
Misbehaving, Richard H. Thaler, L. J. Ganser, 13 hrs and 35 mins,4.5 out of 5 stars
How Women Rise," Sally Helgesen, Marshall Goldsmith"," Sally Helgesen, Marshall Goldsmith, Suzanne Toren", 7 hrs and 6 mins,4.5 out of 5 stars
Children of Ruin, Adrian Tchaikovsky, Mel Hudson, 15 hrs and 25 mins,4.5 out of 5 stars
Chanakya and the Art of War, Radhakrishnan Pillai, Abhishek Sharma, 5 hrs and 11 mins,4.5 out of 5 stars
Monolith to Microservices, Sam Newman, Mitchell Dorian, 6 hrs and 45 mins,4.5 out of 5 stars
The Man Who Solved the Market, Gregory Zuckerman, Will Damron, 10 hrs and 44 mins,4.5 out of 5 stars
The Word Is Murder, Anthony Horowitz, Rory Kinnear, 9 hrs and 2 mins,4.5 out of 5 stars
